"Chinés simplificat 
(RPC)","Chinés traditional 
(Taiwan, etc.)",HSK,Pronunciation,Signification
结婚,結婚,3,jiéhūn,mariar se
结束,結束,3,jiéshù,terminar; finir; concluder
解决,解決,3,jiějué,resoluer; finir un dispute
借,借,3,jiè,prestar; pruntar
经常,經常,3,jīngcháng,sovente; frequent; omnidial
经过,經過,3,jīngguò,trapassar; quam resultate
经理,經理,3,jīnglǐ,gerente; director
久,久,3,jiǔ,long (témpor)
旧,舊,3,jiù,old; anteyan; usat
句子,句子,3,jùzi,frase
决定,決定,3,juédìng,decider; resoluer
可爱,可愛,3,kě'ài,pretti; amabil
渴,渴,3,kě,setosi; havent sete
刻,刻,3,kè,quaresim (de un hor); (contator por curt pezzes de témpor); tranchar; ciser
客人,客人,3,kèrén,gast; cliente
空调,空調,3,kōngtiáo,climatisation
口,口,3,kǒu,bocca
哭,哭,3,kū,plorar; lacrimar
裤子,褲子,3,kùzi,pantalones
筷子,筷子,3,kuàizi,bastonettes (por manjar)
蓝,藍,3,lán,blu
老,老,3,lǎo,old; etosi; dur; frequent
离开,離開,3,líkāi,lassar; departer
礼物,禮物,3,lǐwù,don; donation
历史,歷史,3,lìshǐ,historie
脸,臉,3,liǎn,visage
练习,練習,3,liànxí,exercitie; practica
辆,輛,3,liàng,(contator por vehicules)
聊天,聊天,3,liáotiān,babillar
了解,了解,3,liǎojiě,comprender; saver; comprension
邻居,鄰居,3,línjū,vicino/a
留学,留學,3,liúxué,studiar in extrania
楼,樓,3,lóu,etage; edificie con mult etages
绿,綠,3,lǜ,verd
马,馬,3,mǎ,cavalle
马上,馬上,3,mǎshàng,strax
满意,滿意,3,mǎnyì,satisfat; pleset
帽子,帽子,3,màozi,chapel
米,米,3,mǐ,ris; metre
面包,面包,3,miànbāo,bread
明白,明白,3,míngbai,clar; evident; comprender
拿,拿,3,ná,tener in li manu; capter
奶奶,奶奶,3,nǎinai,ava
南,南,3,nán,sud
难,難,3,nán,desfacil
难过,難過,3,nánguò,"esser chagrinat, trist; passar un desfacil témpor"
年级,年級,3,niánjí,gradu; annu (scolari)
年轻,年輕,3,niánqīng,yun
鸟,鳥,3,niǎo,avie
努力,努力,3,nǔlì,laborar dur; penar
爬山,爬山,3,páshān,alpinisme; climbar montes
盘子,盤子,3,pánzi,platil; plate; porta-plate
胖,胖,3,pàng,grassi; grassatri
皮鞋,皮鞋,3,píxié,cutin sapates
啤酒,啤酒,3,píjiǔ,bir
瓶子,瓶子,3,píngzi,botelle
其实,其實,3,qíshí,in fact
其他,其他,3,qítā,altri; altrimen
奇怪,奇怪,3,qíguài,strangi
骑,騎,3,qí,vehicular; cavalcar; seder se sur
起飞,起飛,3,qǐfēi,involar (un aeroplane)
起来,起來,3,qǐlai,(comensant o continuant un action); levar se
清楚,清楚,3,qīngchu,clar; distint; esser clar pri
请假,請假,3,qǐngjià,petir vacanties
秋,秋,3,qiū,autun; témpor de recoltar
裙子,裙子,3,qúnzi,jup
然后,然后,3,ránhòu,poy
热情,熱情,3,rèqíng,cordial; calid; entusiastic
认为,認為,3,rènwéi,creder; pensar que
认真,認真,3,rènzhēn,seriosi; sinceri
容易,容易,3,róngyì,facil; probabil; -aci
如果,如果,3,rúguǒ,si
伞,傘,3,sǎn,parapluvie; parasole
上网,上網,3,shàngwǎng,usar li internet
生气,生氣,3,shēngqì,incolerat
声音,聲音,3,shēngyīn,son; voce
世界,世界,3,shìjiè,munde
试,試,3,shì,provar; examinar; exámine
瘦,瘦,3,shòu,magri
叔叔,叔叔,3,shūshu,plu yun fratre del patre; oncle
舒服,舒服,3,shūfu,comfortabil; sentient bon
树,樹,3,shù,árbor
数学,數學,3,shùxué,matematica
刷牙,刷牙,3,shuāyá,brossar li dentes
双,雙,3,shuāng,du; duplic; (contator por pares)
水平,水平,3,shuǐpíng,nivelle; horizontal
司机,司機,3,sījī,chofero
